A1_eigenvalue,a,b,multiplicity,galois_block,side
12,12,0,1,sigma-fixed,none
3,3,0,16,sigma-fixed,none
0,0,0,25,sigma-fixed,none
-2,-2,0,36,sigma-fixed,none
-3,-3,0,16,sigma-fixed,none
6 phi,0,6,4,sigma-paired,+phi
6 - 6 phi,6,-6,4,sigma-paired,-phi
4 phi,0,4,9,sigma-paired,+phi
4 - 4 phi,4,-4,9,sigma-paired,-phi
