lambda,lift_image_dim,global_eigenspace_dim,intersection_dim,max_lift_residual,verdict
0.0,5,1,1,1.341641e+01,PARTIAL
4.0,20,0,0,9.380832e+00,EMPTY
8.0,45,0,0,5.291503e+00,EMPTY
10.0,40,0,0,3.162278e+00,EMPTY
12.0,10,25,10,6.161050e-15,FULL
