iter,q0,q1,q2,q3
112,0.6737497225,0.7389596142,0.0000000000,0.0000000000
113,-0.2743854022,0.9616198059,0.0000000000,0.0000000000
114,-0.9622556079,0.2721472858,0.0000000000,0.0000000000
115,-0.7373900195,-0.6754672154,0.0000000000,0.0000000000
116,0.1869178578,-0.9823755465,0.0000000000,0.0000000000
117,0.9339270860,-0.3574635618,0.0000000000,0.0000000000
118,0.7950711933,0.6065161148,0.0000000000,0.0000000000
119,-0.0979397607,0.9951923449,0.0000000000,0.0000000000
120,-0.8980511519,0.4398910417,0.0000000000,0.0000000000
121,-0.8463271010,-0.5326635318,0.0000000000,0.0000000000
122,0.0081701758,-0.9999666236,0.0000000000,0.0000000000
123,0.8549177323,-0.5187635984,0.0000000000,0.0000000000
124,0.8907435245,0.4545062965,0.0000000000,0.0000000000
125,0.0816654352,0.9966597999,0.0000000000,0.0000000000
126,-0.8048754044,0.5934438335,0.0000000000,0.0000000000
127,-0.9279615181,-0.3726760268,0.0000000000,0.0000000000
128,-0.1708410775,-0.9852985975,0.0000000000,0.0000000000
129,0.7483285788,-0.6633282281,0.0000000000,0.0000000000
130,0.9576803094,0.2878340234,0.0000000000,0.0000000000
131,0.2586360894,0.9659748305,0.0000000000,0.0000000000
132,-0.6857342315,0.7278520205,0.0000000000,0.0000000000
133,-0.9796597297,-0.2006659262,0.0000000000,0.0000000000
134,-0.3443409669,-0.9388446615,0.0000000000,0.0000000000
135,0.6175982108,-0.7864937699,0.0000000000,0.0000000000
136,0.9937221553,0.1118761729,0.0000000000,0.0000000000
137,0.4272630969,0.9041273395,0.0000000000,0.0000000000
138,-0.5444711491,0.8387795704,0.0000000000,0.0000000000
139,-0.9997539424,-0.0221823067,0.0000000000,0.0000000000
140,-0.5067323548,-0.8621034280,0.0000000000,0.0000000000
141,0.4669440135,-0.8842868812,0.0000000000,0.0000000000
142,0.9977063458,-0.0676908230,0.0000000000,0.0000000000
143,0.5821065201,0.8131125379,0.0000000000,0.0000000000
144,-0.3856433295,0.9226479407,0.0000000000,0.0000000000
145,-0.9875959130,0.1570169180,0.0000000000,0.0000000000
146,-0.6527764659,-0.7575505829,0.0000000000,0.0000000000
147,0.3012261183,-0.9535527388,0.0000000000,0.0000000000
148,0.9695043502,-0.2450741008,0.0000000000,0.0000000000
149,0.7181710822,0.6958665797,0.0000000000,0.0000000000
150,-0.2143745868,0.9767515224,0.0000000000,0.0000000000
151,-0.9435778620,0.3311507486,0.0000000000,0.0000000000
152,-0.7777618908,-0.6285590197,0.0000000000,0.0000000000
153,0.1257906144,-0.9920568136,0.0000000000,0.0000000000
154,0.9100259700,-0.4145512441,0.0000000000,0.0000000000
155,0.8310673161,0.5561718404,0.0000000000,0.0000000000
156,-0.0361900813,0.9993449244,0.0000000000,0.0000000000
157,-0.8691198195,0.4946015966,0.0000000000,0.0000000000
158,-0.8776565772,-0.4792900296,0.0000000000,0.0000000000
159,-0.0537029173,-0.9985569571,0.0000000000,0.0000000000
160,0.8211899883,-0.5706548896,0.0000000000,0.0000000000
161,0.9171531690,0.3985348976,0.0000000000,0.0000000000
162,0.1431619227,0.9896992795,0.0000000000,0.0000000000
163,-0.7666238153,0.6420965082,0.0000000000,0.0000000000
164,-0.9492379047,-0.3145590569,0.0000000000,0.0000000000
165,-0.2314639833,-0.9728434738,0.0000000000,0.0000000000
166,0.7058622700,-0.7083491059,0.0000000000,0.0000000000
167,0.9736514957,0.2280411474,0.0000000000,0.0000000000
168,0.3178954973,0.9481257579,0.0000000000,0.0000000000
169,-0.6393963890,0.7688772709,0.0000000000,0.0000000000
170,-0.9901966467,-0.1396803525,0.0000000000,0.0000000000
171,-0.4017579795,-0.9157458850,0.0000000000,0.0000000000
172,0.5677633079,-0.8231918526,0.0000000000,0.0000000000
173,0.9987396501,0.0501907487,0.0000000000,0.0000000000
174,0.4823737060,0.8759655288,0.0000000000,0.0000000000
175,-0.4915419203,0.8708539146,0.0000000000,0.0000000000
176,-0.9992114668,0.0397044652,0.0000000000,0.0000000000
177,-0.5590911911,-0.8291061693,0.0000000000,0.0000000000
178,0.4113481995,-0.9114782821,0.0000000000,0.0000000000
179,0.9916082839,-0.1292788126,0.0000000000,0.0000000000
180,0.6312904523,0.7755464943,0.0000000000,0.0000000000
181,-0.3278302208,0.9447366545,0.0000000000,0.0000000000
182,-0.9759915454,0.2178084097,0.0000000000,0.0000000000
183,-0.6983880204,-0.7157193396,0.0000000000,0.0000000000
184,0.2416629241,-0.9703602584,0.0000000000,0.0000000000
185,0.9524874561,-0.3045778161,0.0000000000,0.0000000000
186,0.7598416550,0.6501081905,0.0000000000,0.0000000000
187,-0.1535426594,0.9881420200,0.0000000000,0.0000000000
188,-0.9212859612,0.3888858158,0.0000000000,0.0000000000
189,-0.8151547265,-0.5792432752,0.0000000000,0.0000000000
190,0.0641815594,-0.9979382383,0.0000000000,0.0000000000
191,0.8826392117,-0.4700510845,0.0000000000,0.0000000000
192,0.8638802293,0.5036972795,0.0000000000,0.0000000000
193,0.0256982157,0.9996697463,0.0000000000,0.0000000000
194,-0.8368595263,0.5474176955,0.0000000000,0.0000000000
195,-0.9056243946,-0.4240807187,0.0000000000,0.0000000000
196,-0.1153703140,-0.9933225512,0.0000000000,0.0000000000
197,0.7843168676,-0.6203604204,0.0000000000,0.0000000000
198,0.9400498721,0.3410370037,0.0000000000,0.0000000000
199,0.2041100618,0.9789479469,0.0000000000,0.0000000000
200,-0.7254358525,0.6882897819,0.0000000000,0.0000000000
