n,r(n),is_prime
1,8,False
2,24,True
3,80,True
4,216,False
5,248,True
6,240,False
7,400,True
8,984,False
9,728,False
10,744,False
11,1152,True
12,2160,False
13,1360,True
14,1200,False
15,2480,False
16,4048,False
17,2272,True
18,2088,False
19,2944,True
20,6256,False
