candidate,rmse_single,coef_single,spec_min,spec_max
random Clifford,58.573722,7.459888,-5.6200,5.6200
icosian g-coupling,62.365048,0.000000,0.0000,0.0000
i-coupling,58.662439,25230816240510184.000000,-0.0000,0.0000
combined icosian,58.662439,50461632481020368.000000,-0.0000,0.0000
