lambda,mult,chi_e,chi_neg_e,character
-1.6650572240851274e-16,1,1.0000000000000007,1.000000000000001,integer-spin
0.14589803375031252,4,3.9999999999999982,-3.999999999999999,half-integer
0.38196601125010177,9,8.999999999999995,8.999999999999996,integer-spin
0.6972243622680012,16,16.000000000000007,-16.000000000000004,half-integer
1.0745770822222869,25,25.000000000000014,25.000000000000014,integer-spin
1.4818013006736532,36,35.99999999999999,-35.99999999999999,half-integer
1.7639320225002062,24,24.000000000000004,24.000000000000004,integer-spin
2.2087121525220765,16,15.999999999999996,15.999999999999996,integer-spin
2.381966011250102,24,24.000000000000007,-24.00000000000001,half-integer
2.6180339887498927,9,9.000000000000004,9.0,integer-spin
