N_q,substrate_a_q,genuine_H,match
4,[-3],[-3],True
5,[-2],[-2],True
9,[2],[2],True
11,"[-4, 4]","[-4, 4]",True
19,"[-4, 4]","[-4, 4]",True
29,"[-2, -2]","[-2, -2]",True
41,"[-6, -6]","[-6, -6]",True
