p,kind,observed_r,expected_r,match
2,anomalous,24,24,YES
3,inert,80,80,YES
5,ramified,248,,n/a
7,inert,400,400,YES
11,split,1152,,n/a
13,inert,1360,1360,YES
17,inert,2320,2320,YES
19,split,3200,,n/a
23,inert,4240,4240,YES
29,split,6768,,n/a
