candidate,rmse_single,coef_single
A_1 (restricted),46.318385,7.244424
A_1^2,27.528961,1.246335
A_1^3,40.088951,0.121453
A_1^4,42.284571,0.012612
Galois swap,59.433512,18.895947
A_1 * swap,58.949909,8.649018
random Hermitian (sample),58.126840,6.120574
