model,param,mean,std,p16,p50,p84,n
VFD-A,A,-0.005462461923487204,0.054607617142572076,-0.08221196095734888,0.01001320674926049,0.0382419730727318,500
VFD-A,theta,0.8015542875981425,1.3191494966615862,1.4927473454618964e-23,5.043286282981268e-16,1.4372111372405332,500
VFD-A,chi2,4.1549715466668715,2.069302561112587,2.081033042715799,3.941713281930932,6.143175862169124,500
VFD-B,A,-0.462809759800337,0.18509156945601118,-0.49999999999999994,-0.4999999999994712,-0.49999999926641303,500
VFD-B,z0,0.20726765667679728,0.2333981195622176,-0.012270962055657168,0.043939004530602344,0.49999999999999994,500
VFD-B,sigma,0.1832749217342515,0.18454341551206382,0.15000000000000002,0.15000000000000002,0.15000000000002955,500
VFD-B,chi2,4.432602316691951,1.6160953627204198,2.8070276070606734,4.31263781331172,6.001226063057347,500
