model,chi2,n_params,n_data,chi2_red,aic,bic,H0,omega_m,A,theta,z0,sigma
LCDM,26.047421128986826,2,40,0.6854584507628112,30.047421128986826,33.4251800372147,66.53757864385108,0.33038189322935574,,,,
VFD-A,26.01658602818126,4,40,0.7226829452272572,34.01658602818126,40.772103844637,66.55735912915165,0.33023203016397895,-0.0019257854952229652,2.5295445131321545e-18,,
VFD-B,24.327188770819767,5,40,0.6950625363091362,34.32718877081977,42.77158604138945,63.32090262174909,0.32415297809013455,0.4999999968418591,,-0.01360940394824036,0.15000000000036132
