model,chi2,n_params,n_data,chi2_red,aic,bic,H0,omega_m,A,theta,z0,sigma
LCDM,6.113894061509323,2,15,0.47029954319302486,10.113894061509324,11.529994463713743,66.83820030887789,0.3379227787764007,,,,
VFD-A,6.021732199671458,4,15,0.5474301999701325,14.021732199671458,16.853933004080297,66.3921091100231,0.34507416833524446,0.011318330945642567,3.9259159432868296e-23,,
VFD-B,5.350399631934926,5,15,0.5350399631934926,15.350399631934927,18.890650637445976,69.59317537893219,0.3632155734505487,-0.49999999999311107,,-0.01657706409062573,0.15000000000000194
