state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells
S00050,"1,2",1,charged_lepton,closure_corrected,phi_decaying,winding_parity,"0.85065081,0.52573111","0.52359878,0.00000000","1.77983739,2.87983739",2
S00051,"1,2",1,charged_lepton,closure_corrected,closure_weight,exact_closure,"0.95542256,0.29524181","0.00000000,0.00000000","1.77983739,2.87983739",2
S00052,"1,2",1,charged_lepton,closure_corrected,closure_weight,torsional_offset,"0.95542256,0.29524181","0.00000000,0.00000000","1.77983739,2.87983739",2
S00053,"1,2",1,charged_lepton,closure_corrected,closure_weight,winding_parity,"0.95542256,0.29524181","0.52359878,0.00000000","1.77983739,2.87983739",2
S00054,"2,3,4",1,baryon,linear,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00055,"2,3,4",1,baryon,linear,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00056,"2,3,4",1,baryon,linear,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00057,"2,3,4",1,baryon,linear,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00058,"2,3,4",1,baryon,linear,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00059,"2,3,4",1,baryon,linear,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00060,"2,3,4",1,baryon,linear,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00061,"2,3,4",1,baryon,linear,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3
S00062,"2,3,4",1,baryon,linear,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3
S00063,"2,3,4",1,baryon,phi_scaled,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00064,"2,3,4",1,baryon,phi_scaled,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00065,"2,3,4",1,baryon,phi_scaled,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00066,"2,3,4",1,baryon,phi_scaled,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00067,"2,3,4",1,baryon,phi_scaled,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00068,"2,3,4",1,baryon,phi_scaled,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00069,"2,3,4",1,baryon,phi_scaled,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00070,"2,3,4",1,baryon,phi_scaled,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","2.61803399,4.23606798,6.85410197",3
S00071,"2,3,4",1,baryon,phi_scaled,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","2.61803399,4.23606798,6.85410197",3
S00072,"2,3,4",1,baryon,closure_corrected,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.87983739,4.65967478,7.53951216",3
S00073,"2,3,4",1,baryon,closure_corrected,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.87983739,4.65967478,7.53951216",3
S00074,"2,3,4",1,baryon,closure_corrected,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.87983739,4.65967478,7.53951216",3
