label,shells,symmetry,n_shells,shell_sum,shell_product,complexity_C,R1_minimal_support_pass,R1_minimal_support_reason,R2_boundary_interior_pass,R2_boundary_interior_reason,R3_complexity_threshold_pass,R3_complexity_threshold_reason,R4_symmetry_topology_pass,R4_symmetry_topology_reason,R5_adjacency_connected_pass,R5_adjacency_connected_reason,all_rules_pass
electron,1,charged_lepton,1,1,1,-1,Y,Minimal single-shell charged closure,Y,Boundary-minimal: electron occupies only the boundary shell,Y,C = -1 >= -1 (lepton threshold satisfied),Y,Contiguous minimal charged support,Y,Single shell is trivially connected,Y
electron_extended,"1,2",charged_lepton,2,3,2,-2,N,Not minimal: 2-shell lepton exceeds minimal support requirement,N,Extended beyond boundary without structural necessity,N,C = -2 < -1 (below lepton threshold),Y,Contiguous minimal charged support,Y,Strictly contiguous (connected),N
baryon_low,"1,2,3",baryon,3,6,6,-1,N,Shell 1 reserved for minimal charged closure,N,Baryon must not occupy boundary shell (that is the lepton sector),N,C = -1 < 5 (below baryon composite threshold),Y,Contiguous composite support of size 3,Y,Strictly contiguous (connected),N
baryon_mid,"2,3,4",baryon,3,9,24,14,Y,"Composite baryon with 3 shells, no shell-1 conflict",Y,Begins at first non-boundary shell,Y,C = 14 >= 5 (baryon threshold satisfied),Y,Contiguous composite support of size 3,Y,Strictly contiguous (connected),Y
baryon_high,"3,4,5",baryon,3,12,60,47,Y,"Composite baryon with 3 shells, no shell-1 conflict",N,Skips available interior shells without justification,Y,C = 47 >= 5 (baryon threshold satisfied),Y,Contiguous composite support of size 3,Y,Strictly contiguous (connected),N
baryon_wide_low,"1,2,3,4",baryon,4,10,24,13,N,Shell 1 reserved for minimal charged closure,N,Baryon must not occupy boundary shell (that is the lepton sector),Y,C = 13 >= 5 (baryon threshold satisfied),Y,Contiguous composite support of size 4,Y,Strictly contiguous (connected),N
baryon_wide_mid,"2,3,4,5",baryon,4,14,120,105,Y,"Composite baryon with 4 shells, no shell-1 conflict",Y,Begins at first non-boundary shell,Y,C = 105 >= 5 (baryon threshold satisfied),Y,Contiguous composite support of size 4,Y,Strictly contiguous (connected),Y
