state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells,energy_law,energy,closure_defect,spectral_variance,torsion_penalty,boundary_penalty,stability_score
S00007,1,1,charged_lepton,linear,closure_weight,torsional_offset,1.00000000,0.00000000,1.00000000,1,phi_growing_2,2.618033988750e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00035,"1,2",1,charged_lepton,linear,closure_weight,winding_parity,"0.95542256,0.29524181","0.52359878,0.00000000","1.00000000,2.00000000",2,structural_k,5.249719691538e+01,9.342608772338e-02,3.170614173977e-17,2.494222591457e-01,0.000000000000e+00,1.682527654671e-01
S00035,"1,2",1,charged_lepton,linear,closure_weight,winding_parity,"0.95542256,0.29524181","0.52359878,0.00000000","1.00000000,2.00000000",2,optimal_k,5.767399703978e+01,9.342608772338e-02,3.170614173977e-17,2.494222591457e-01,0.000000000000e+00,1.682527654671e-01
S00035,"1,2",1,charged_lepton,linear,closure_weight,winding_parity,"0.95542256,0.29524181","0.52359878,0.00000000","1.00000000,2.00000000",2,phi_growing_2,3.584738873503e+00,9.342608772338e-02,3.170614173977e-17,2.494222591457e-01,0.000000000000e+00,1.682527654671e-01
S00009,1,1,charged_lepton,phi_scaled,uniform,exact_closure,1.00000000,0.00000000,1.61803399,1,structural_k,2.415946466234e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00009,1,1,charged_lepton,phi_scaled,uniform,exact_closure,1.00000000,0.00000000,1.61803399,1,optimal_k,2.549686703959e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00009,1,1,charged_lepton,phi_scaled,uniform,exact_closure,1.00000000,0.00000000,1.61803399,1,phi_growing_2,4.236067980773e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00010,1,1,charged_lepton,phi_scaled,uniform,torsional_offset,1.00000000,0.00000000,1.61803399,1,structural_k,2.415946466234e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00010,1,1,charged_lepton,phi_scaled,uniform,torsional_offset,1.00000000,0.00000000,1.61803399,1,optimal_k,2.549686703959e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00010,1,1,charged_lepton,phi_scaled,uniform,torsional_offset,1.00000000,0.00000000,1.61803399,1,phi_growing_2,4.236067980773e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00011,1,1,charged_lepton,phi_scaled,uniform,winding_parity,1.00000000,0.52359878,1.61803399,1,structural_k,2.415946466234e+01,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00011,1,1,charged_lepton,phi_scaled,uniform,winding_parity,1.00000000,0.52359878,1.61803399,1,optimal_k,2.549686703959e+01,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00011,1,1,charged_lepton,phi_scaled,uniform,winding_parity,1.00000000,0.52359878,1.61803399,1,phi_growing_2,4.236067980773e+00,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00012,1,1,charged_lepton,phi_scaled,phi_decaying,exact_closure,1.00000000,0.00000000,1.61803399,1,structural_k,2.415946466234e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00012,1,1,charged_lepton,phi_scaled,phi_decaying,exact_closure,1.00000000,0.00000000,1.61803399,1,optimal_k,2.549686703959e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00012,1,1,charged_lepton,phi_scaled,phi_decaying,exact_closure,1.00000000,0.00000000,1.61803399,1,phi_growing_2,4.236067980773e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00013,1,1,charged_lepton,phi_scaled,phi_decaying,torsional_offset,1.00000000,0.00000000,1.61803399,1,structural_k,2.415946466234e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00013,1,1,charged_lepton,phi_scaled,phi_decaying,torsional_offset,1.00000000,0.00000000,1.61803399,1,optimal_k,2.549686703959e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00013,1,1,charged_lepton,phi_scaled,phi_decaying,torsional_offset,1.00000000,0.00000000,1.61803399,1,phi_growing_2,4.236067980773e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00014,1,1,charged_lepton,phi_scaled,phi_decaying,winding_parity,1.00000000,0.52359878,1.61803399,1,structural_k,2.415946466234e+01,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00014,1,1,charged_lepton,phi_scaled,phi_decaying,winding_parity,1.00000000,0.52359878,1.61803399,1,optimal_k,2.549686703959e+01,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00014,1,1,charged_lepton,phi_scaled,phi_decaying,winding_parity,1.00000000,0.52359878,1.61803399,1,phi_growing_2,4.236067980773e+00,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00015,1,1,charged_lepton,phi_scaled,closure_weight,exact_closure,1.00000000,0.00000000,1.61803399,1,structural_k,2.415946466234e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00015,1,1,charged_lepton,phi_scaled,closure_weight,exact_closure,1.00000000,0.00000000,1.61803399,1,optimal_k,2.549686703959e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00015,1,1,charged_lepton,phi_scaled,closure_weight,exact_closure,1.00000000,0.00000000,1.61803399,1,phi_growing_2,4.236067980773e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00016,1,1,charged_lepton,phi_scaled,closure_weight,torsional_offset,1.00000000,0.00000000,1.61803399,1,structural_k,2.415946466234e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00016,1,1,charged_lepton,phi_scaled,closure_weight,torsional_offset,1.00000000,0.00000000,1.61803399,1,optimal_k,2.549686703959e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00016,1,1,charged_lepton,phi_scaled,closure_weight,torsional_offset,1.00000000,0.00000000,1.61803399,1,phi_growing_2,4.236067980773e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00017,1,1,charged_lepton,phi_scaled,closure_weight,winding_parity,1.00000000,0.52359878,1.61803399,1,structural_k,2.415946466234e+01,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
