dynamics,step,P_plus_norm_sq,P_minus_norm_sq,ratio
A. Pure A_1 iteration (control),199.0,1.000000e+00,-1.589121e-16,-1.589121e-16
A. Pure A_1 iteration (control),200.0,1.000000e+00,-1.350001e-16,-1.350001e-16
B. Gradient closure-flow,0.0,8.087862e-01,1.912138e-01,2.364207e-01
B. Gradient closure-flow,1.0,7.630808e-01,2.369192e-01,3.104772e-01
B. Gradient closure-flow,2.0,6.769540e-01,3.230460e-01,4.772053e-01
B. Gradient closure-flow,3.0,5.571166e-01,4.428834e-01,7.949564e-01
B. Gradient closure-flow,4.0,4.385876e-01,5.614124e-01,1.280046e+00
B. Gradient closure-flow,5.0,3.646840e-01,6.353160e-01,1.742100e+00
B. Gradient closure-flow,6.0,3.502443e-01,6.497557e-01,1.855150e+00
B. Gradient closure-flow,7.0,3.802592e-01,6.197408e-01,1.629785e+00
B. Gradient closure-flow,8.0,4.338247e-01,5.661753e-01,1.305079e+00
B. Gradient closure-flow,9.0,4.965701e-01,5.034299e-01,1.013814e+00
B. Gradient closure-flow,10.0,5.606683e-01,4.393317e-01,7.835856e-01
B. Gradient closure-flow,11.0,6.221655e-01,3.778345e-01,6.072894e-01
B. Gradient closure-flow,12.0,6.790847e-01,3.209153e-01,4.725704e-01
B. Gradient closure-flow,13.0,7.304590e-01,2.695410e-01,3.690022e-01
B. Gradient closure-flow,14.0,7.758947e-01,2.241053e-01,2.888347e-01
B. Gradient closure-flow,15.0,8.153711e-01,1.846289e-01,2.264355e-01
B. Gradient closure-flow,16.0,8.491302e-01,1.508698e-01,1.776757e-01
B. Gradient closure-flow,17.0,8.775952e-01,1.224048e-01,1.394775e-01
B. Gradient closure-flow,18.0,9.013000e-01,9.869996e-02,1.095084e-01
B. Gradient closure-flow,19.0,9.208296e-01,7.917038e-02,8.597723e-02
B. Gradient closure-flow,20.0,9.367727e-01,6.322734e-02,6.749486e-02
B. Gradient closure-flow,21.0,9.496880e-01,5.031197e-02,5.297737e-02
B. Gradient closure-flow,22.0,9.600841e-01,3.991591e-02,4.157543e-02
B. Gradient closure-flow,23.0,9.684085e-01,3.159152e-02,3.262210e-02
B. Gradient closure-flow,24.0,9.750456e-01,2.495440e-02,2.559306e-02
B. Gradient closure-flow,25.0,9.803192e-01,1.968080e-02,2.007591e-02
B. Gradient closure-flow,26.0,9.844978e-01,1.550223e-02,1.574633e-02
B. Gradient closure-flow,27.0,9.878013e-01,1.219866e-02,1.234930e-02
B. Gradient closure-flow,28.0,9.904085e-01,9.591485e-03,9.684372e-03
B. Gradient closure-flow,29.0,9.924632e-01,7.536800e-03,7.594035e-03
B. Gradient closure-flow,30.0,9.940807e-01,5.919332e-03,5.954579e-03
B. Gradient closure-flow,31.0,9.953528e-01,4.647167e-03,4.668864e-03
B. Gradient closure-flow,32.0,9.963527e-01,3.647286e-03,3.660637e-03
B. Gradient closure-flow,33.0,9.971382e-01,2.861843e-03,2.870056e-03
B. Gradient closure-flow,34.0,9.977549e-01,2.245115e-03,2.250167e-03
B. Gradient closure-flow,35.0,9.982390e-01,1.761028e-03,1.764135e-03
B. Gradient closure-flow,36.0,9.986188e-01,1.381155e-03,1.383066e-03
B. Gradient closure-flow,37.0,9.989169e-01,1.083125e-03,1.084299e-03
B. Gradient closure-flow,38.0,9.991507e-01,8.493425e-04,8.500645e-04
B. Gradient closure-flow,39.0,9.993340e-01,6.659817e-04,6.664256e-04
B. Gradient closure-flow,40.0,9.994778e-01,5.221825e-04,5.224553e-04
B. Gradient closure-flow,41.0,9.995906e-01,4.094180e-04,4.095857e-04
B. Gradient closure-flow,42.0,9.996790e-01,3.209960e-04,3.210991e-04
B. Gradient closure-flow,43.0,9.997483e-01,2.516650e-04,2.517284e-04
B. Gradient closure-flow,44.0,9.998027e-01,1.973053e-04,1.973442e-04
B. Gradient closure-flow,45.0,9.998453e-01,1.546852e-04,1.547092e-04
B. Gradient closure-flow,46.0,9.998787e-01,1.212703e-04,1.212850e-04
B. Gradient closure-flow,47.0,9.999049e-01,9.507281e-05,9.508185e-05
B. Gradient closure-flow,48.0,9.999255e-01,7.453418e-05,7.453974e-05
B. Gradient closure-flow,49.0,9.999416e-01,5.843223e-05,5.843565e-05
B. Gradient closure-flow,50.0,9.999542e-01,4.580868e-05,4.581078e-05
B. Gradient closure-flow,51.0,9.999641e-01,3.591217e-05,3.591346e-05
B. Gradient closure-flow,52.0,9.999718e-01,2.815364e-05,2.815443e-05
B. Gradient closure-flow,53.0,9.999779e-01,2.207123e-05,2.207172e-05
B. Gradient closure-flow,54.0,9.999827e-01,1.730286e-05,1.730316e-05
B. Gradient closure-flow,55.0,9.999864e-01,1.356466e-05,1.356484e-05
B. Gradient closure-flow,56.0,9.999894e-01,1.063407e-05,1.063418e-05
B. Gradient closure-flow,57.0,9.999917e-01,8.336611e-06,8.336680e-06
B. Gradient closure-flow,58.0,9.999935e-01,6.535510e-06,6.535552e-06
B. Gradient closure-flow,59.0,9.999949e-01,5.123529e-06,5.123555e-06
B. Gradient closure-flow,60.0,9.999960e-01,4.016602e-06,4.016618e-06
B. Gradient closure-flow,61.0,9.999969e-01,3.148823e-06,3.148833e-06
B. Gradient closure-flow,62.0,9.999975e-01,2.468526e-06,2.468532e-06
B. Gradient closure-flow,63.0,9.999981e-01,1.935205e-06,1.935209e-06
B. Gradient closure-flow,64.0,9.999985e-01,1.517107e-06,1.517109e-06
B. Gradient closure-flow,65.0,9.999988e-01,1.189338e-06,1.189340e-06
B. Gradient closure-flow,66.0,9.999991e-01,9.323834e-07,9.323843e-07
B. Gradient closure-flow,67.0,9.999993e-01,7.309433e-07,7.309438e-07
B. Gradient closure-flow,68.0,9.999994e-01,5.730240e-07,5.730243e-07
B. Gradient closure-flow,69.0,9.999996e-01,4.492229e-07,4.492231e-07
B. Gradient closure-flow,70.0,9.999996e-01,3.521689e-07,3.521690e-07
B. Gradient closure-flow,71.0,9.999997e-01,2.760832e-07,2.760833e-07
B. Gradient closure-flow,72.0,9.999998e-01,2.164358e-07,2.164359e-07
B. Gradient closure-flow,73.0,9.999998e-01,1.696751e-07,1.696752e-07
B. Gradient closure-flow,74.0,9.999999e-01,1.330170e-07,1.330170e-07
B. Gradient closure-flow,75.0,9.999999e-01,1.042789e-07,1.042789e-07
B. Gradient closure-flow,76.0,9.999999e-01,8.174954e-08,8.174955e-08
B. Gradient closure-flow,77.0,9.999999e-01,6.408766e-08,6.408766e-08
B. Gradient closure-flow,78.0,9.999999e-01,5.024160e-08,5.024160e-08
B. Gradient closure-flow,79.0,1.000000e+00,3.938696e-08,3.938696e-08
B. Gradient closure-flow,80.0,1.000000e+00,3.087746e-08,3.087746e-08
B. Gradient closure-flow,81.0,1.000000e+00,2.420642e-08,2.420642e-08
B. Gradient closure-flow,82.0,1.000000e+00,1.897665e-08,1.897665e-08
B. Gradient closure-flow,83.0,1.000000e+00,1.487677e-08,1.487677e-08
B. Gradient closure-flow,84.0,1.000000e+00,1.166266e-08,1.166266e-08
B. Gradient closure-flow,85.0,1.000000e+00,9.142958e-09,9.142958e-09
B. Gradient closure-flow,86.0,1.000000e+00,7.167633e-09,7.167633e-09
B. Gradient closure-flow,87.0,1.000000e+00,5.619074e-09,5.619074e-09
B. Gradient closure-flow,88.0,1.000000e+00,4.405080e-09,4.405080e-09
B. Gradient closure-flow,89.0,1.000000e+00,3.453368e-09,3.453368e-09
B. Gradient closure-flow,90.0,1.000000e+00,2.707272e-09,2.707272e-09
B. Gradient closure-flow,91.0,1.000000e+00,2.122369e-09,2.122369e-09
B. Gradient closure-flow,92.0,1.000000e+00,1.663834e-09,1.663834e-09
B. Gradient closure-flow,93.0,1.000000e+00,1.304365e-09,1.304365e-09
B. Gradient closure-flow,94.0,1.000000e+00,1.022558e-09,1.022558e-09
B. Gradient closure-flow,95.0,1.000000e+00,8.016356e-10,8.016356e-10
B. Gradient closure-flow,96.0,1.000000e+00,6.284432e-10,6.284432e-10
B. Gradient closure-flow,97.0,1.000000e+00,4.926688e-10,4.926688e-10
B. Gradient closure-flow,98.0,1.000000e+00,3.862283e-10,3.862283e-10
B. Gradient closure-flow,99.0,1.000000e+00,3.027841e-10,3.027841e-10
B. Gradient closure-flow,100.0,1.000000e+00,2.373679e-10,2.373679e-10
B. Gradient closure-flow,101.0,1.000000e+00,1.860848e-10,1.860848e-10
B. Gradient closure-flow,102.0,1.000000e+00,1.458814e-10,1.458814e-10
B. Gradient closure-flow,103.0,1.000000e+00,1.143639e-10,1.143639e-10
B. Gradient closure-flow,104.0,1.000000e+00,8.965564e-11,8.965564e-11
B. Gradient closure-flow,105.0,1.000000e+00,7.028565e-11,7.028565e-11
B. Gradient closure-flow,106.0,1.000000e+00,5.510047e-11,5.510047e-11
B. Gradient closure-flow,107.0,1.000000e+00,4.319605e-11,4.319605e-11
B. Gradient closure-flow,108.0,1.000000e+00,3.386357e-11,3.386357e-11
B. Gradient closure-flow,109.0,1.000000e+00,2.654733e-11,2.654733e-11
B. Gradient closure-flow,110.0,1.000000e+00,2.081181e-11,2.081181e-11
B. Gradient closure-flow,111.0,1.000000e+00,1.631540e-11,1.631540e-11
B. Gradient closure-flow,112.0,1.000000e+00,1.279044e-11,1.279044e-11
B. Gradient closure-flow,113.0,1.000000e+00,1.002706e-11,1.002706e-11
B. Gradient closure-flow,114.0,1.000000e+00,7.860687e-12,7.860687e-12
B. Gradient closure-flow,115.0,1.000000e+00,6.162364e-12,6.162364e-12
B. Gradient closure-flow,116.0,1.000000e+00,4.830973e-12,4.830973e-12
B. Gradient closure-flow,117.0,1.000000e+00,3.787208e-12,3.787208e-12
B. Gradient closure-flow,118.0,1.000000e+00,2.968938e-12,2.968938e-12
B. Gradient closure-flow,119.0,1.000000e+00,2.327488e-12,2.327488e-12
B. Gradient closure-flow,120.0,1.000000e+00,1.824629e-12,1.824629e-12
B. Gradient closure-flow,121.0,1.000000e+00,1.430374e-12,1.430374e-12
B. Gradient closure-flow,122.0,1.000000e+00,1.121300e-12,1.121300e-12
B. Gradient closure-flow,123.0,1.000000e+00,8.790121e-13,8.790121e-13
B. Gradient closure-flow,124.0,1.000000e+00,6.890770e-13,6.890770e-13
B. Gradient closure-flow,125.0,1.000000e+00,5.401809e-13,5.401809e-13
B. Gradient closure-flow,126.0,1.000000e+00,4.234402e-13,4.234402e-13
B. Gradient closure-flow,127.0,1.000000e+00,3.319090e-13,3.319090e-13
B. Gradient closure-flow,128.0,1.000000e+00,2.601784e-13,2.601784e-13
B. Gradient closure-flow,129.0,1.000000e+00,2.039311e-13,2.039311e-13
B. Gradient closure-flow,130.0,1.000000e+00,1.598773e-13,1.598773e-13
B. Gradient closure-flow,131.0,1.000000e+00,1.252564e-13,1.252564e-13
B. Gradient closure-flow,132.0,1.000000e+00,9.818102e-14,9.818102e-14
B. Gradient closure-flow,133.0,1.000000e+00,7.692483e-14,7.692483e-14
B. Gradient closure-flow,134.0,1.000000e+00,6.028081e-14,6.028081e-14
B. Gradient closure-flow,135.0,1.000000e+00,4.721826e-14,4.721826e-14
B. Gradient closure-flow,136.0,1.000000e+00,3.695295e-14,3.695295e-14
B. Gradient closure-flow,137.0,1.000000e+00,2.896931e-14,2.896931e-14
B. Gradient closure-flow,138.0,1.000000e+00,2.268427e-14,2.268427e-14
B. Gradient closure-flow,139.0,1.000000e+00,1.771477e-14,1.771477e-14
B. Gradient closure-flow,140.0,1.000000e+00,1.388565e-14,1.388565e-14
B. Gradient closure-flow,141.0,1.000000e+00,1.085856e-14,1.085856e-14
B. Gradient closure-flow,142.0,1.000000e+00,8.469457e-15,8.469457e-15
B. Gradient closure-flow,143.0,1.000000e+00,6.612425e-15,6.612425e-15
B. Gradient closure-flow,144.0,1.000000e+00,5.143785e-15,5.143785e-15
B. Gradient closure-flow,145.0,1.000000e+00,4.009694e-15,4.009694e-15
B. Gradient closure-flow,146.0,1.000000e+00,3.081188e-15,3.081188e-15
B. Gradient closure-flow,147.0,1.000000e+00,2.379420e-15,2.379420e-15
B. Gradient closure-flow,148.0,1.000000e+00,1.860050e-15,1.860050e-15
B. Gradient closure-flow,149.0,1.000000e+00,1.408843e-15,1.408843e-15
B. Gradient closure-flow,150.0,1.000000e+00,1.063320e-15,1.063320e-15
B. Gradient closure-flow,151.0,1.000000e+00,8.204024e-16,8.204024e-16
B. Gradient closure-flow,152.0,1.000000e+00,6.024302e-16,6.024302e-16
B. Gradient closure-flow,153.0,1.000000e+00,4.411030e-16,4.411030e-16
B. Gradient closure-flow,154.0,1.000000e+00,3.171958e-16,3.171958e-16
B. Gradient closure-flow,155.0,1.000000e+00,2.224525e-16,2.224525e-16
B. Gradient closure-flow,156.0,1.000000e+00,1.543812e-16,1.543812e-16
B. Gradient closure-flow,157.0,1.000000e+00,7.029132e-17,7.029132e-17
B. Gradient closure-flow,158.0,1.000000e+00,2.043104e-17,2.043104e-17
B. Gradient closure-flow,159.0,1.000000e+00,-1.969462e-17,-1.969462e-17
B. Gradient closure-flow,160.0,1.000000e+00,-6.208178e-17,-6.208178e-17
B. Gradient closure-flow,161.0,1.000000e+00,-6.954388e-17,-6.954388e-17
B. Gradient closure-flow,162.0,1.000000e+00,-5.969976e-17,-5.969976e-17
B. Gradient closure-flow,163.0,1.000000e+00,-1.032352e-16,-1.032352e-16
B. Gradient closure-flow,164.0,1.000000e+00,-1.055921e-16,-1.055921e-16
B. Gradient closure-flow,165.0,1.000000e+00,-1.232599e-16,-1.232599e-16
B. Gradient closure-flow,166.0,1.000000e+00,-1.178858e-16,-1.178858e-16
B. Gradient closure-flow,167.0,1.000000e+00,-1.257485e-16,-1.257485e-16
B. Gradient closure-flow,168.0,1.000000e+00,-1.423402e-16,-1.423402e-16
B. Gradient closure-flow,169.0,1.000000e+00,-1.437636e-16,-1.437636e-16
B. Gradient closure-flow,170.0,1.000000e+00,-1.443106e-16,-1.443106e-16
B. Gradient closure-flow,171.0,1.000000e+00,-1.677316e-16,-1.677316e-16
B. Gradient closure-flow,172.0,1.000000e+00,-1.334650e-16,-1.334650e-16
B. Gradient closure-flow,173.0,1.000000e+00,-1.477849e-16,-1.477849e-16
B. Gradient closure-flow,174.0,1.000000e+00,-1.461562e-16,-1.461562e-16
B. Gradient closure-flow,175.0,1.000000e+00,-1.590421e-16,-1.590421e-16
B. Gradient closure-flow,176.0,1.000000e+00,-1.576675e-16,-1.576675e-16
B. Gradient closure-flow,177.0,1.000000e+00,-1.725522e-16,-1.725522e-16
B. Gradient closure-flow,178.0,1.000000e+00,-1.520207e-16,-1.520207e-16
B. Gradient closure-flow,179.0,1.000000e+00,-1.396435e-16,-1.396435e-16
B. Gradient closure-flow,180.0,1.000000e+00,-1.444644e-16,-1.444644e-16
B. Gradient closure-flow,181.0,1.000000e+00,-1.478898e-16,-1.478898e-16
B. Gradient closure-flow,182.0,1.000000e+00,-1.306900e-16,-1.306900e-16
B. Gradient closure-flow,183.0,1.000000e+00,-1.395889e-16,-1.395889e-16
B. Gradient closure-flow,184.0,1.000000e+00,-1.532148e-16,-1.532148e-16
B. Gradient closure-flow,185.0,1.000000e+00,-1.624672e-16,-1.624672e-16
B. Gradient closure-flow,186.0,1.000000e+00,-1.451009e-16,-1.451009e-16
B. Gradient closure-flow,187.0,1.000000e+00,-1.327114e-16,-1.327114e-16
B. Gradient closure-flow,188.0,1.000000e+00,-1.584771e-16,-1.584771e-16
B. Gradient closure-flow,189.0,1.000000e+00,-1.468634e-16,-1.468634e-16
B. Gradient closure-flow,190.0,1.000000e+00,-1.577309e-16,-1.577309e-16
B. Gradient closure-flow,191.0,1.000000e+00,-1.348639e-16,-1.348639e-16
B. Gradient closure-flow,192.0,1.000000e+00,-1.505537e-16,-1.505537e-16
B. Gradient closure-flow,193.0,1.000000e+00,-1.698038e-16,-1.698038e-16
B. Gradient closure-flow,194.0,1.000000e+00,-1.726618e-16,-1.726618e-16
B. Gradient closure-flow,195.0,1.000000e+00,-1.467762e-16,-1.467762e-16
B. Gradient closure-flow,196.0,1.000000e+00,-1.485228e-16,-1.485228e-16
B. Gradient closure-flow,197.0,1.000000e+00,-1.623036e-16,-1.623036e-16
B. Gradient closure-flow,198.0,1.000000e+00,-1.359399e-16,-1.359399e-16
B. Gradient closure-flow,199.0,1.000000e+00,-1.480565e-16,-1.480565e-16
B. Gradient closure-flow,200.0,1.000000e+00,-1.415656e-16,-1.415656e-16
C. Inverse iteration on C_phi,0.0,8.087862e-01,1.912138e-01,2.364207e-01
C. Inverse iteration on C_phi,1.0,8.817127e-01,1.182873e-01,1.341563e-01
C. Inverse iteration on C_phi,2.0,9.978085e-01,2.191549e-03,2.196363e-03
C. Inverse iteration on C_phi,3.0,9.999581e-01,4.185528e-05,4.185704e-05
C. Inverse iteration on C_phi,4.0,9.999992e-01,8.423051e-07,8.423058e-07
C. Inverse iteration on C_phi,5.0,1.000000e+00,1.714044e-08,1.714044e-08
C. Inverse iteration on C_phi,6.0,1.000000e+00,3.495984e-10,3.495984e-10
C. Inverse iteration on C_phi,7.0,1.000000e+00,7.133641e-12,7.133641e-12
C. Inverse iteration on C_phi,8.0,1.000000e+00,1.454216e-13,1.454216e-13
C. Inverse iteration on C_phi,9.0,1.000000e+00,2.792780e-15,2.792780e-15
C. Inverse iteration on C_phi,10.0,1.000000e+00,-8.521315e-17,-8.521315e-17
C. Inverse iteration on C_phi,11.0,1.000000e+00,-1.358213e-16,-1.358213e-16
C. Inverse iteration on C_phi,12.0,1.000000e+00,-1.666464e-16,-1.666464e-16
C. Inverse iteration on C_phi,13.0,1.000000e+00,-1.562195e-16,-1.562195e-16
C. Inverse iteration on C_phi,14.0,1.000000e+00,-1.597039e-16,-1.597039e-16
C. Inverse iteration on C_phi,15.0,1.000000e+00,-1.403842e-16,-1.403842e-16
C. Inverse iteration on C_phi,16.0,1.000000e+00,-1.736394e-16,-1.736394e-16
C. Inverse iteration on C_phi,17.0,1.000000e+00,-1.525778e-16,-1.525778e-16
C. Inverse iteration on C_phi,18.0,1.000000e+00,-1.696013e-16,-1.696013e-16
C. Inverse iteration on C_phi,19.0,1.000000e+00,-1.537655e-16,-1.537655e-16
C. Inverse iteration on C_phi,20.0,1.000000e+00,-1.579620e-16,-1.579620e-16
C. Inverse iteration on C_phi,21.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,22.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,23.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,24.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,25.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,26.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,27.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,28.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,29.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,30.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,31.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,32.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,33.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,34.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,35.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,36.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,37.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,38.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,39.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,40.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,41.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,42.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,43.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,44.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,45.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,46.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,47.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,48.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,49.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,50.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,51.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,52.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,53.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,54.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,55.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,56.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,57.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,58.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,59.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,60.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,61.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,62.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,63.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,64.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,65.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,66.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,67.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,68.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,69.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,70.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,71.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,72.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,73.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,74.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,75.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,76.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,77.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,78.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,79.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,80.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,81.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,82.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,83.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,84.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,85.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,86.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,87.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,88.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,89.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,90.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,91.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,92.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,93.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,94.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,95.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,96.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,97.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,98.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,99.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,100.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,101.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,102.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,103.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,104.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,105.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,106.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,107.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,108.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,109.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,110.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,111.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,112.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,113.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,114.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,115.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,116.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,117.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,118.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,119.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,120.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,121.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,122.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,123.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,124.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,125.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,126.0,1.000000e+00,-1.566951e-16,-1.566951e-16
C. Inverse iteration on C_phi,127.0,1.000000e+00,-1.566951e-16,-1.566951e-16
