dynamics,step,P_plus_norm_sq,P_minus_norm_sq,ratio
D. Closure-flow + tau-broken noise,150.0,9.923208e-01,7.679161e-03,7.738587e-03
D. Closure-flow + tau-broken noise,151.0,9.940965e-01,5.903529e-03,5.938587e-03
D. Closure-flow + tau-broken noise,152.0,9.890485e-01,1.095154e-02,1.107281e-02
D. Closure-flow + tau-broken noise,153.0,9.899371e-01,1.006293e-02,1.016522e-02
D. Closure-flow + tau-broken noise,154.0,9.921084e-01,7.891562e-03,7.954334e-03
D. Closure-flow + tau-broken noise,155.0,9.911954e-01,8.804583e-03,8.882792e-03
D. Closure-flow + tau-broken noise,156.0,9.888347e-01,1.116526e-02,1.129133e-02
D. Closure-flow + tau-broken noise,157.0,9.899305e-01,1.006950e-02,1.017193e-02
D. Closure-flow + tau-broken noise,158.0,9.897129e-01,1.028710e-02,1.039402e-02
D. Closure-flow + tau-broken noise,159.0,9.930278e-01,6.972202e-03,7.021155e-03
D. Closure-flow + tau-broken noise,160.0,9.880368e-01,1.196320e-02,1.210805e-02
D. Closure-flow + tau-broken noise,161.0,9.917973e-01,8.202680e-03,8.270520e-03
D. Closure-flow + tau-broken noise,162.0,9.908879e-01,9.112077e-03,9.195870e-03
D. Closure-flow + tau-broken noise,163.0,9.933070e-01,6.693001e-03,6.738099e-03
D. Closure-flow + tau-broken noise,164.0,9.927886e-01,7.211399e-03,7.263781e-03
D. Closure-flow + tau-broken noise,165.0,9.930759e-01,6.924139e-03,6.972417e-03
D. Closure-flow + tau-broken noise,166.0,9.929624e-01,7.037637e-03,7.087517e-03
D. Closure-flow + tau-broken noise,167.0,9.945592e-01,5.440823e-03,5.470587e-03
D. Closure-flow + tau-broken noise,168.0,9.955826e-01,4.417351e-03,4.436951e-03
D. Closure-flow + tau-broken noise,169.0,9.946459e-01,5.354142e-03,5.382963e-03
D. Closure-flow + tau-broken noise,170.0,9.949421e-01,5.057893e-03,5.083605e-03
D. Closure-flow + tau-broken noise,171.0,9.951844e-01,4.815633e-03,4.838936e-03
D. Closure-flow + tau-broken noise,172.0,9.958362e-01,4.163829e-03,4.181239e-03
D. Closure-flow + tau-broken noise,173.0,9.964833e-01,3.516669e-03,3.529080e-03
D. Closure-flow + tau-broken noise,174.0,9.962254e-01,3.774607e-03,3.788909e-03
D. Closure-flow + tau-broken noise,175.0,9.968254e-01,3.174588e-03,3.184698e-03
D. Closure-flow + tau-broken noise,176.0,9.968298e-01,3.170193e-03,3.180276e-03
D. Closure-flow + tau-broken noise,177.0,9.964942e-01,3.505816e-03,3.518150e-03
