shell,d2_rational,d2_float,pair_count_directed,edges_undirected
1,3/2 + -1/2*sqrt(5),0.381966,1440,720
2,1 + 0*sqrt(5),1.000000,2400,1200
3,5/2 + -1/2*sqrt(5),1.381966,1440,720
4,2 + 0*sqrt(5),2.000000,3600,1800
5,3/2 + 1/2*sqrt(5),2.618034,1440,720
6,3 + 0*sqrt(5),3.000000,2400,1200
7,5/2 + 1/2*sqrt(5),3.618034,1440,720
8,4 + 0*sqrt(5),4.000000,120,60
