Re,Im,abs_L_sub
0.5675,-46.2500,2.568033e+02
0.5900,-46.2500,2.111941e+02
0.6125,-46.2500,1.750574e+02
0.6350,-46.2500,1.460905e+02
0.6575,-46.2500,1.226141e+02
0.6800,-46.2500,1.033984e+02
0.7025,-46.2500,8.753413e+01
0.7250,-46.2500,7.434181e+01
0.7475,-46.2500,6.330598e+01
0.7700,-46.2500,5.402966e+01
0.7925,-46.2500,4.620223e+01
0.8150,-46.2500,3.957700e+01
0.8375,-46.2500,3.395532e+01
0.8600,-46.2500,2.917541e+01
0.8825,-46.2500,2.510415e+01
0.9050,-46.2500,2.163120e+01
0.9275,-46.2500,1.866452e+01
0.9500,-46.2500,1.612698e+01
0.0500,-45.0000,1.440614e+05
0.0725,-45.0000,1.101008e+05
0.0950,-45.0000,8.425196e+04
0.1175,-45.0000,6.456029e+04
0.1400,-45.0000,4.954515e+04
0.1625,-45.0000,3.808440e+04
0.1850,-45.0000,2.932716e+04
0.2075,-45.0000,2.262782e+04
0.2300,-45.0000,1.749624e+04
0.2525,-45.0000,1.356008e+04
0.2750,-45.0000,1.053628e+04
0.2975,-45.0000,8.209519e+03
0.3200,-45.0000,6.415863e+03
0.3425,-45.0000,5.030411e+03
0.3650,-45.0000,3.957923e+03
0.3875,-45.0000,3.125710e+03
0.4100,-45.0000,2.478243e+03
0.4325,-45.0000,1.973063e+03
0.4550,-45.0000,1.577668e+03
0.4775,-45.0000,1.267150e+03
0.5000,-45.0000,1.022402e+03
0.5225,-45.0000,8.287438e+02
0.5450,-45.0000,6.748805e+02
0.5675,-45.0000,5.521094e+02
0.5900,-45.0000,4.537118e+02
0.6125,-45.0000,3.744900e+02
0.6350,-45.0000,3.104136e+02
0.6575,-45.0000,2.583486e+02
0.6800,-45.0000,2.158510e+02
0.7025,-45.0000,1.810083e+02
0.7250,-45.0000,1.523185e+02
0.7475,-45.0000,1.285971e+02
0.7700,-45.0000,1.089062e+02
0.7925,-45.0000,9.249976e+01
0.8150,-45.0000,7.878162e+01
0.8375,-45.0000,6.727323e+01
0.8600,-45.0000,5.758864e+01
0.8825,-45.0000,4.941514e+01
0.9050,-45.0000,4.249821e+01
0.9275,-45.0000,3.662983e+01
0.9500,-45.0000,3.163923e+01
0.0500,-43.7500,5.095767e+04
0.0725,-43.7500,3.764374e+04
0.0950,-43.7500,2.778534e+04
0.1175,-43.7500,2.049372e+04
0.1400,-43.7500,1.510650e+04
0.1625,-43.7500,1.113054e+04
0.1850,-43.7500,8.199131e+03
0.2075,-43.7500,6.039921e+03
0.2300,-43.7500,4.450863e+03
0.2525,-43.7500,3.282269e+03
0.2750,-43.7500,2.423376e+03
0.2975,-43.7500,1.792335e+03
0.3200,-43.7500,1.328741e+03
0.3425,-43.7500,9.880753e+02
0.3650,-43.7500,7.375696e+02
0.3875,-43.7500,5.531367e+02
0.4100,-43.7500,4.170940e+02
0.4325,-43.7500,3.164773e+02
0.4550,-43.7500,2.417942e+02
0.4775,-43.7500,1.861035e+02
0.5000,-43.7500,1.443366e+02
0.5225,-43.7500,1.127969e+02
0.5450,-43.7500,8.879172e+01
0.5675,-43.7500,7.036131e+01
0.5900,-43.7500,5.607957e+01
0.6125,-43.7500,4.490792e+01
0.6350,-43.7500,3.608834e+01
0.6575,-43.7500,2.906546e+01
0.6800,-43.7500,2.343007e+01
0.7025,-43.7500,1.887835e+01
0.7250,-43.7500,1.518262e+01
0.7475,-43.7500,1.217036e+01
0.7700,-43.7500,9.709340e+00
0.7925,-43.7500,7.696890e+00
0.8150,-43.7500,6.052375e+00
0.8375,-43.7500,4.711775e+00
0.8600,-43.7500,3.623871e+00
0.8825,-43.7500,2.747601e+00
0.9050,-43.7500,2.050351e+00
0.9275,-43.7500,1.507085e+00
0.9500,-43.7500,1.100194e+00
0.0500,-42.5000,1.797460e+05
0.0725,-42.5000,1.397637e+05
0.0950,-42.5000,1.088483e+05
0.1175,-42.5000,8.491452e+04
0.1400,-42.5000,6.636164e+04
0.1625,-42.5000,5.196017e+04
0.1850,-42.5000,4.076492e+04
0.2075,-42.5000,3.204872e+04
0.2300,-42.5000,2.525156e+04
0.2525,-42.5000,1.994184e+04
0.2750,-42.5000,1.578654e+04
0.2975,-42.5000,1.252849e+04
0.3200,-42.5000,9.968823e+03
0.3425,-42.5000,7.953612e+03
0.3650,-42.5000,6.363560e+03
0.3875,-42.5000,5.106086e+03
0.4100,-42.5000,4.109248e+03
0.4325,-42.5000,3.317058e+03
0.4550,-42.5000,2.685880e+03
0.4775,-42.5000,2.181650e+03
0.5000,-42.5000,1.777730e+03
0.5225,-42.5000,1.453254e+03
0.5450,-42.5000,1.191847e+03
0.5675,-42.5000,9.806314e+02
0.5900,-42.5000,8.094624e+02
0.6125,-42.5000,6.703285e+02
0.6350,-42.5000,5.568905e+02
0.6575,-42.5000,4.641204e+02
0.6800,-42.5000,3.880205e+02
0.7025,-42.5000,3.254049e+02
0.7250,-42.5000,2.737282e+02
0.7475,-42.5000,2.309512e+02
0.7700,-42.5000,1.954359e+02
0.7925,-42.5000,1.658635e+02
0.8150,-42.5000,1.411686e+02
0.8375,-42.5000,1.204885e+02
0.8600,-42.5000,1.031228e+02
0.8825,-42.5000,8.850087e+01
0.9050,-42.5000,7.615683e+01
0.9275,-42.5000,6.570908e+01
0.9500,-42.5000,5.684423e+01
0.0500,-41.2500,1.696217e+05
0.0725,-41.2500,1.294796e+05
0.0950,-41.2500,9.890177e+04
