id,name,origin,free_param,m_electron,m_proton,ratio,error_pct,tests_passed,T5_amplification,verdict
F1,Pure exponential,derived (E_0 from minimal class),No,2.718282e+00,8.068534e+11,296824788809.2288,OVERFLOW,6/7,N,REJECT
F2,Phi^C (Paper II hypothesis),postulated (Paper II),No,6.180340e-01,8.429988e+02,1364.0007,25.71,6/7,Y,STRONG
F3,Multiplicative shell product,derived (multiplicative composition of shell contributions),No,2.618034e+00,5.778000e+03,2206.9995,20.20,7/7,Y,STRONG
F4,Phi^(E_class),postulated (energy-as-exponent hypothesis),No,3.524818e+00,1.001208e+15,OVERFLOW,OVERFLOW,5/7,N,REJECT
F5,Mode-weighted phi product,derived (mode count × geometry per shell),No,1.618034e+00,1.824316e+03,1127.4891,38.60,7/7,Y,MODERATE
F6,Quadratic closure product,derived (quadratic per-shell closure cost),No,1.618034e+00,1.149851e+06,710647.0000,38603.05,6/7,N,REJECT
F7,phi^C × E_class,postulated (product of two established quantities),No,1.618034e+00,6.050800e+04,37396.0004,1936.65,5/7,N,REJECT
